Recording	Participant	Toi	Interval	Media	Duration of interval	Start of interval	Time_to_first_Event.Logged live Event	Time_to_first_Event.computer_END	Time_to_first_Event.computer_START	Time_to_first_Event.gregor_END	Time_to_first_Event.gregor_START	Time_to_first_Event.plant_END	Time_to_first_Event.plant_START	Time_to_first_Event.teddy_END	Time_to_first_Event.teddy_START	Number_of_Events.Logged live Event	Number_of_Events.computer_END	Number_of_Events.computer_START	Number_of_Events.gregor_END	Number_of_Events.gregor_START	Number_of_Events.plant_END	Number_of_Events.plant_START	Number_of_Events.teddy_END	Number_of_Events.teddy_START	Total_duration_of_fixations.computer	Total_duration_of_fixations.gregor	Total_duration_of_fixations.plant	Total_duration_of_fixations.teddy	Average_duration_of_fixations.computer	Average_duration_of_fixations.gregor	Average_duration_of_fixations.plant	Average_duration_of_fixations.teddy	Number_of_fixations.computer	Number_of_fixations.gregor	Number_of_fixations.plant	Number_of_fixations.teddy	Time_to_first_fixation.computer	Time_to_first_fixation.gregor	Time_to_first_fixation.plant	Time_to_first_fixation.teddy	Duration_of_first_fixation.computer	Duration_of_first_fixation.gregor	Duration_of_first_fixation.plant	Duration_of_first_fixation.teddy	Total_duration_of_whole_fixations.computer	Total_duration_of_whole_fixations.gregor	Total_duration_of_whole_fixations.plant	Total_duration_of_whole_fixations.teddy	Average_duration_of_whole_fixations.computer	Average_duration_of_whole_fixations.gregor	Average_duration_of_whole_fixations.plant	Average_duration_of_whole_fixations.teddy	Number_of_whole_fixations.computer	Number_of_whole_fixations.gregor	Number_of_whole_fixations.plant	Number_of_whole_fixations.teddy	Time_to_first_whole_fixation.computer	Time_to_first_whole_fixation.gregor	Time_to_first_whole_fixation.plant	Time_to_first_whole_fixation.teddy	Duration_of_first_whole_fixation.computer	Duration_of_first_whole_fixation.gregor	Duration_of_first_whole_fixation.plant	Duration_of_first_whole_fixation.teddy	Total_duration_of_Visit.computer	Total_duration_of_Visit.gregor	Total_duration_of_Visit.plant	Total_duration_of_Visit.teddy	Average_duration_of_Visit.computer	Average_duration_of_Visit.gregor	Average_duration_of_Visit.plant	Average_duration_of_Visit.teddy	Number_of_Visits.computer	Number_of_Visits.gregor	Number_of_Visits.plant	Number_of_Visits.teddy	Total_duration_of_Glances.computer	Total_duration_of_Glances.gregor	Total_duration_of_Glances.plant	Total_duration_of_Glances.teddy	Average_duration_of_Glances.computer	Average_duration_of_Glances.gregor	Average_duration_of_Glances.plant	Average_duration_of_Glances.teddy	Maximum_duration_of_Glances.computer	Maximum_duration_of_Glances.gregor	Maximum_duration_of_Glances.plant	Maximum_duration_of_Glances.teddy	Minimum_duration_of_Glances.computer	Minimum_duration_of_Glances.gregor	Minimum_duration_of_Glances.plant	Minimum_duration_of_Glances.teddy	Number_of_Glances.computer	Number_of_Glances.gregor	Number_of_Glances.plant	Number_of_Glances.teddy	Number of saccades	Average peak velocity of saccades	Minimum peak velocity of saccades	Maximum peak velocity of saccades	Standard deviation of peak velocity of saccades	Average amplitude of saccades	Minimum amplitude of saccades	Maximum amplitude of saccades	Total amplitude of saccades	Time to first saccade	Direction of first saccade	Peak velocity of first saccade	Average velocity of first saccade	Amplitude of first saccade	Number_of_saccades_in_AOI.computer	Number_of_saccades_in_AOI.gregor	Number_of_saccades_in_AOI.plant	Number_of_saccades_in_AOI.teddy	Time_to_entry_saccade.computer	Time_to_entry_saccade.gregor	Time_to_entry_saccade.plant	Time_to_entry_saccade.teddy	Time_to_exit_saccade.computer	Time_to_exit_saccade.gregor	Time_to_exit_saccade.plant	Time_to_exit_saccade.teddy	Peak_velocity_of_entry_saccade.computer	Peak_velocity_of_entry_saccade.gregor	Peak_velocity_of_entry_saccade.plant	Peak_velocity_of_entry_saccade.teddy	Peak_velocity_of_exit_saccade.computer	Peak_velocity_of_exit_saccade.gregor	Peak_velocity_of_exit_saccade.plant	Peak_velocity_of_exit_saccade.teddy
Recording030	Pilot001	My Time of Interest001	31	fullstream	142	83524										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	32	fullstream	4974	84480				3041	2654	3974	3240	4841	4732	0	0	0	1	1	1	1	1	1	0	1419	0	0	0	473	0	0	0	3	0	0		2439				540			0	1419	0	0	0	473	0	0	0	3	0	0		2439				540			0	1479	0	0	0	1479	0	0	0	1	0	0	0	1499	0	0	0	1499	0	0		1499				1499			0	1	0	0	6	280,68	104,01	546,07	167,17	9,07	3,96	13,45	54,39	80	157,65	249,86	247,37	9,87	0	2	0	0																
Recording030	Pilot001	My Time of Interest001	33	fullstream	109	90212										0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	109	0	0	0	1				0				109	0	0	0	109	0	0	0	109	0	0	0	1				0				109	0	0	0	109	0	0	0	109	0	0	0	1	0	0	0	109	0	0	0	109				109				109	0	0	0	1	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	34	fullstream	344	91130										0	0	0	0	0	0	0	0	0	0	0	0	280	0	0	0	280	0	0	0	1				7				280	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	280	0	0	0	280	0	0	0	1	0	58	0	280	0	58	0	280		58		280		58		280	0	1	0	1	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	35	fullstream	4732	92963				710	4	3732	3566			0	0	0	3	3	1	1	0	0	80	1242	0	0	80	207	0	0	1	6	0	0	4170	2730			80	240			80	1242	0	0	80	207	0	0	1	6	0	0	4170	2730			80	240			80	1442	0	0	80	721	0	0	1	2	0	0	200	1482	0	0	200	741	0	0	200	1119			200	363			1	2	0	0	6	249,47	104,52	420,66	117,12	11,1	4,72	23,58	66,59	2710	229,39	104,52	104,52	13,26	0	3	0	0	4050	2710				3830			420,66	104,52				312,76		
Recording030	Pilot001	My Time of Interest001	36	fullstream	109	98737										0	0	0	0	0	0	0	0	0	0	109	0	0	0	109	0	0	0	1	0	0		0				109			0	109	0	0	0	109	0	0	0	1	0	0		0				109			0	109	0	0	0	109	0	0	0	1	0	0	0	109	0	0	0	109	0	0		109				109			0	1	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	37	fullstream	153	98935										0	0	0	0	0	0	0	0	0	0	153	0	0	0	153	0	0	0	1	0	0		0				153			0	153	0	0	0	153	0	0	0	1	0	0		0				153			0	153	0	0	0	153	0	0	0	1	0	0	0	153	0	0	0	153	0	0		153				153			0	1	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	38	fullstream	334	99159										0	0	0	0	0	0	0	0	0	0	334	0	0	0	334	0	0	0	1	0	0		0				334			0	334	0	0	0	334	0	0	0	1	0	0		0				334			0	334	0	0	0	334	0	0	0	1	0	0	0	334	0	0	0	334	0	0		334				334			0	1	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	39	fullstream	1903	99889				262	1604			903	742	0	0	0	1	1	0	0	1	1	0	522	0	0	0	174	0	0	0	3	0	0		0				282			0	522	0	0	0	174	0	0	0	3	0	0		0				282			0	762	0	0	0	381	0	0	0	2	0	0	0	842	0	0	0	421	0	0		642				200			0	2	0	0	1	241,77	241,77	241,77		10,8	10,8	10,8	10,8	642	158,33	241,77	211,44	10,8	0	0	0	0						642								241,77		
Recording030	Pilot001	My Time of Interest001	40	fullstream	2623	102492				28	192	1623	1470			0	0	0	2	1	1	1	0	0	0	187	0	0	0	187	0	0	0	1	0	0		2436				187			0	0	0	0	0	0	0	0	0	0	0	0									0	187	0	0	0	187	0	0	0	1	0	0	0	187	0	0	0	187	0	0		187				187			0	1	0	0	2	168,93	158,64	179,22	14,55	7,19	2,65	11,73	14,38	1357	79,61	179,22	164,67	11,73	0	0	0	0																
Recording030	Pilot001	My Time of Interest001	41	fullstream	236	106276			49							0	0	1	0	0	0	0	0	0	0	236	0	0	0	236	0	0	0	1	0	0		0				236			0	236	0	0	0	236	0	0	0	1	0	0		0				236			0	236	0	0	0	236	0	0	0	1	0	0	0	236	0	0	0	236	0	0		236				236			0	1	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	42	fullstream	369	106708										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	43	fullstream	342	107325					267					0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	44	fullstream	2609	108592				220	49	1609	767			0	0	0	2	2	2	2	0	0	0	820	0	0	0	410	0	0	0	2	0	0		834				400			0	820	0	0	0	410	0	0	0	2	0	0		834				400			0	839	0	0	0	839	0	0	0	1	0	0	0	859	0	0	0	859	0	0		859				859			0	1	0	0	4	224,19	121,71	485,36	175,45	9,57	2,75	21,67	38,3	474	228,79	485,36	375,48	21,67	0	1	0	0		814				1674				121,71				167,8		
Recording030	Pilot001	My Time of Interest001	45	fullstream	209	111401										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	46	fullstream	1073	112280								73		0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	47	fullstream	2139	114736		1949	1490	654				1139	980	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	3	453,24	446,41	466,18	11,21	15,86	5,25	28,28	47,58	487	289,43	466,18	337,04	14,05	0	0	0	0																
Recording030	Pilot001	My Time of Interest001	48	fullstream	459	117226										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	44	0	0		44				44			0	1	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	49	fullstream	196	119732										0	0	0	0	0	0	0	0	0	0	8	0	0	0	8	0	0	0	1	0	0		0				8			0	8	0	0	0	8	0	0	0	1	0	0		0				8			0	196	0	0	0	196	0	0	0	1	0	0	0	196	0	0	0	196	0	0		196				196			0	1	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	50	fullstream	130	120147			55							0	0	1	0	0	0	0	0	0	0	130	0	0	0	130	0	0	0	1	0	0		0				130			0	130	0	0	0	130	0	0	0	1	0	0		0				130			0	130	0	0	0	130	0	0	0	1	0	0	0	130	0	0	0	130	0	0		130				130			0	1	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	51	fullstream	874	121202								373		0	0	0	0	0	0	0	1	0	0	834	0	0	0	417	0	0	0	2	0	0		0				316			0	316	0	0	0	316	0	0	0	1	0	0		0				316			0	874	0	0	0	874	0	0	0	1	0	0	0	874	0	0	0	874	0	0		874				874			0	1	0	0	1	297,31	297,31	297,31		16,76	16,76	16,76	16,76	316	275,3	297,31	241,07	16,76	0	1	0	0																
Recording030	Pilot001	My Time of Interest001	52	fullstream	395	122181										0	0	0	0	0	0	0	0	0	0	237	0	0	0	237	0	0	0	1	0	0		0				237			0	0	0	0	0	0	0	0	0	0	0	0									0	237	0	0	0	237	0	0	0	1	0	0	0	237	0	0	0	237	0	0		237				237			0	1	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	53	fullstream	130	124197										0	0	0	0	0	0	0	0	0	0	110	0	0	0	55	0	0	0	2	0	0		0				80			0	110	0	0	0	55	0	0	0	2	0	0		0				80			0	130	0	0	0	130	0	0	0	1	0	0	0	130	0	0	0	130	0	0		130				130			0	1	0	0	1	101,76	101,76	101,76		9,59	9,59	9,59	9,59	80	97,93	101,76	101,76	9,59	0	1	0	0																
Recording030	Pilot001	My Time of Interest001	54	fullstream	1051	127601			888			51				0	0	1	0	0	1	0	0	0	0	437	0	0	0	219	0	0	0	2	0	0		554				180			0	437	0	0	0	219	0	0	0	2	0	0		554				180			0	497	0	0	0	497	0	0	0	1	0	0	0	557	0	0	0	557	0	0		557				557			0	1	0	0	2	660,78	442,34	879,22	308,92	20,85	14,88	26,82	41,7	494	208,48	879,22	392,54	26,82	0	1	0	0		494								879,22						
Recording030	Pilot001	My Time of Interest001	55	fullstream	415	129489		413	346					209	39	0	1	1	0	0	0	0	1	1	0	180	145	0	0	180	145	0	0	1	1	0		205	0			180	145		0	180	145	0	0	180	145	0	0	1	1	0		205	0			180	145		0	210	145	0	0	210	145	0	0	1	1	0	0	270	145	0	0	270	145	0		270	145			270	145		0	1	1	0	1	433,19	433,19	433,19		21,97	21,97	21,97	21,97	145	10,15	433,19	327,45	21,97	0	0	0	0		145					145			433,19					433,19	
Recording030	Pilot001	My Time of Interest001	56	fullstream	170	130528										0	0	0	0	0	0	0	0	0	0	170	0	0	0	170	0	0	0	1	0	0		0				170			0	170	0	0	0	170	0	0	0	1	0	0		0				170			0	170	0	0	0	170	0	0	0	1	0	0	0	170	0	0	0	170	0	0		170				170			0	1	0	0	0														0	0	0	0																
Recording030	Pilot001	My Time of Interest001	57	fullstream	67	130834										0	0	0	0	0	0	0	0	0	0	67	0	0	0	67	0	0	0	1	0	0		0				67			0	67	0	0	0	67	0	0	0	1	0	0		0				67			0	67	0	0	0	67	0	0	0	1	0	0	0	67	0	0	0	67	0	0		67				67			0	1	0	0	0														0	0	0	0																
Recording030	Pilot001	snapshot_class	1	snapshot_class	3438	2728				893	511					0	0	0	2	2	0	0	0	0																																																																									0																																	
Recording030	Pilot001	snapshot_class	2	snapshot_class	115772	33490		3886	3741	1987	351	2983	2877	9827	9579	0	24	24	37	37	15	15	17	17																																																																									89	303,54	102,32	879,22	146,1	12,37	1,46	27,01	1101,27	3538	13,63	280,75	280,75	10,06																				
Recording030	Pilot001	snapshot_class	3	snapshot_class	2279	156958										0	0	0	0	0	0	0	0	0																																																																									0																																	
Recording030	Pilot001	snapshot_class	4	snapshot_class	3978	164354										0	0	0	0	0	0	0	0	0																																																																									0																																	
Recording030	Pilot001	snapshot_class	5	snapshot_class	54508	174987										0	0	0	0	0	0	0	0	0																																																																									27	370,12	114,66	831,86	176,65	17,08	2,86	34,53	461,11	400	131,88	119,09	119,09	4,11																				
Recording030	Pilot001	snapshot_class	6	snapshot_class	3618	235912										0	0	0	0	0	0	0	0	0																																																																									3	228,37	109,06	342,42	116,77	10,81	9,47	12,61	32,43	919	203,25	233,64	233,64	9,47																				
Recording030	Pilot001	snapshot_class	7	snapshot_class	23906	245166										0	0	0	0	0	0	0	0	0																																																																									11	309,87	111,28	515,12	141,24	12,61	2,71	21,16	138,75	380	328,7	491,73	329,42	10,33																				
Recording030	Pilot001	snapshot_class	8	snapshot_class	45793	277407										0	0	0	0	0	0	0	0	0																																																																									21	333,65	109,57	744,09	160,01	14,1	2,16	30,63	296,1	280	187,29	128,02	128,02	5,2																				
Recording030	Pilot001	snapshot_class	9	snapshot_class	96183	328377										0	0	0	0	0	0	0	0	0																																																																									40	311,31	100,26	866,22	189,45	14,58	2,28	27,97	568,57	2459	100,38	139,18	126,45	11,74																				
Recording030	Pilot001	snapshot_class	10	snapshot_class	46772	430497										0	0	0	0	0	0	0	0	0																																																																									30	247,71	103	608,26	168,52	10,86	2,79	22,25	304,06	600	285,46	448,92	315,88	19,51																				
Recording030	Pilot001	snapshot_class	11	snapshot_class	41895	482806										0	0	0	0	0	0	0	0	0																																																																									11	198,12	106,09	287,6	64,34	8,87	3,6	12,75	97,6	1879	90,81	114,08	114,08	10,7																				
Recording030	Pilot001	snapshot_class	12	snapshot_class	32621	530138										0	0	0	0	0	0	0	0	0																																																																									11	316,04	114,56	527,14	162,69	15	2,2	27,97	164,96	720	137,11	114,56	114,56	2,2																				
Recording030	Pilot001	snapshot_class	13	snapshot_class	110075	569515										0	0	0	0	0	0	0	0	0																																																																									32	296,03	103,59	652,53	189,62	15,8	1,75	39,35	505,67	3658	111,14	246,58	191,47	10,01																				
Recording030	Pilot001	snapshot_class	14	snapshot_class	2858	707153										0	0	0	0	0	0	0	0	0																																																																									1	272,02	272,02	272,02		7,7	7,7	7,7	7,7	2718	21,01	272,02	225,24	7,7																				
Recording030	Pilot001	Entire Recording	1	fullstream	726977	0		7569	7445	3621	3239	36474	36367	43317	43069	0	25	25	40	40	15	15	17	17	9432	198897	4075	4637	210	599	151	211	45	332	27	22	7396	2888	36249	36828	210	214	264	198	7356	173778	3258	3618	210	601	155	226	35	289	21	16	37588	38168	38288	37368	340	80	240	180	11051	215207	4515	4797	409	1259	226	228	27	171	20	21	12070	223342	5374	5736	447	1306	269	273	3918	12333	620	680	100	120	100	100	27	171	20	21	534	277,04	100,26	879,22	159,99	12,84	0,82	40,11	6805,54	550	110,43	142,87	124,93	1,65	9	108	4	0	37548	42945	38248	37328	37328	38248	106208	37548	263,77	255,04	480,45	249,63	249,63	480,45	517,42	263,77
