Farbe	Kommentar	Dokumentgruppe	Dokumentname	Code	Anfang	Ende	Gewicht	Segment	Bearbeitet von	Bearbeitet am	Erstellt von	Erstellt am	Fläche	Abdeckungsgrad %
?			Aperol_pilot_02_04_novice_D_cam1	disturbance\chatting with neighbor\reacted\verbal	0:03:03,2	0:03:05,1	0		empshiwi	09.10.2020 15:07:18	empshiwi	09.10.2020 15:07:18	00:00:01,8	0,26
?			Aperol_pilot_02_04_novice_D_cam1	disturbance\chatting with neighbor\reacted	0:03:07,4	0:03:08,4	0		empshiwi	09.10.2020 15:07:41	empshiwi	09.10.2020 15:07:41	00:00:00,9	0,14
?			Aperol_pilot_02_04_novice_D_cam1	disturbance\chatting with neighbor\reacted\verbal	0:03:07,4	0:03:08,4	0		empshiwi	09.10.2020 15:07:43	empshiwi	09.10.2020 15:07:43	00:00:00,9	0,14
?			Aperol_pilot_02_04_novice_D_cam1	disturbance\chatting with neighbor\reacted	0:03:09,0	0:03:10,2	0		empshiwi	09.10.2020 15:08:02	empshiwi	09.10.2020 15:08:02	00:00:01,1	0,16
?			Aperol_pilot_02_04_novice_D_cam1	disturbance\chatting with neighbor\reacted\verbal	0:03:09,0	0:03:10,2	0		empshiwi	09.10.2020 15:08:10	empshiwi	09.10.2020 15:08:10	00:00:01,1	0,16
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:03:09,0	0:03:10,2	0		empshiwi	09.10.2020 15:08:13	empshiwi	09.10.2020 15:08:13	00:00:01,1	0,16
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:03:07,4	0:03:08,4	0		empshiwi	09.10.2020 15:08:21	empshiwi	09.10.2020 15:08:21	00:00:00,9	0,14
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:03:03,2	0:03:05,1	0		empshiwi	09.10.2020 15:08:26	empshiwi	09.10.2020 15:08:26	00:00:01,8	0,26
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\student	0:03:10,9	0:03:16,7	0		empshiwi	09.10.2020 15:09:29	empshiwi	09.10.2020 15:09:29	00:00:05,8	0,82
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:03:16,7	0:03:24,3	0		empshiwi	09.10.2020 15:10:43	empshiwi	09.10.2020 15:10:43	00:00:07,5	1,07
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\student	0:03:24,3	0:03:26,9	0		empshiwi	09.10.2020 15:10:59	empshiwi	09.10.2020 15:10:59	00:00:02,5	0,37
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:03:26,2	0:03:28,2	0		empshiwi	09.10.2020 15:11:12	empshiwi	09.10.2020 15:11:12	00:00:01,9	0,28
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:03:29,1	0:03:29,5	0		empshiwi	09.10.2020 15:11:25	empshiwi	09.10.2020 15:11:25	00:00:00,4	0,06
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\student	0:03:28,5	0:03:29,1	0		empshiwi	09.10.2020 15:11:30	empshiwi	09.10.2020 15:11:30	00:00:00,5	0,08
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\student	0:03:30,0	0:03:31,0	0		empshiwi	09.10.2020 15:11:37	empshiwi	09.10.2020 15:11:37	00:00:01,0	0,14
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:03:30,9	0:03:34,7	0		empshiwi	09.10.2020 15:12:05	empshiwi	09.10.2020 15:12:05	00:00:03,7	0,53
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\student	0:03:34,9	0:03:35,3	0		empshiwi	09.10.2020 15:12:16	empshiwi	09.10.2020 15:12:16	00:00:00,3	0,06
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:03:35,4	0:03:36,7	0		empshiwi	09.10.2020 15:12:33	empshiwi	09.10.2020 15:12:33	00:00:01,3	0,18
?			Aperol_pilot_02_04_novice_D_cam1	disturbance\staring out oft the window	0:03:13,0	0:03:34,8	0		empshiwi	09.10.2020 15:13:51	empshiwi	09.10.2020 15:13:51	00:00:21,8	3,08
?			Aperol_pilot_02_04_novice_D_cam1	disturbance\staring out oft the window\perceidved	0:03:33,9	0:03:34,0	0		empshiwi	09.10.2020 15:14:04	empshiwi	09.10.2020 15:14:04	00:00:00,1	0,02
?			Aperol_pilot_02_04_novice_D_cam1	disturbance\staring out oft the window\reacted	0:03:34,3	0:03:34,9	0		empshiwi	09.10.2020 15:14:21	empshiwi	09.10.2020 15:14:21	00:00:00,5	0,08
?			Aperol_pilot_02_04_novice_D_cam1	disturbance\staring out oft the window\reacted\verbal	0:03:34,3	0:03:34,9	0		empshiwi	09.10.2020 15:14:23	empshiwi	09.10.2020 15:14:23	00:00:00,5	0,08
?			Aperol_pilot_02_04_novice_D_cam1	disturbance\staring out oft the window\reacted	0:03:35,4	0:03:36,7	0		empshiwi	09.10.2020 15:14:27	empshiwi	09.10.2020 15:14:27	00:00:01,3	0,18
?			Aperol_pilot_02_04_novice_D_cam1	disturbance\staring out oft the window\reacted\verbal	0:03:35,4	0:03:36,7	0		empshiwi	09.10.2020 15:14:29	empshiwi	09.10.2020 15:14:29	00:00:01,3	0,18
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\student	0:03:36,7	0:03:37,8	0		empshiwi	09.10.2020 15:14:42	empshiwi	09.10.2020 15:14:42	00:00:01,1	0,16
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:03:38,3	0:03:41,4	0		empshiwi	09.10.2020 15:14:59	empshiwi	09.10.2020 15:14:59	00:00:03,0	0,43
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\student	0:03:41,6	0:03:42,7	0		empshiwi	09.10.2020 15:15:10	empshiwi	09.10.2020 15:15:10	00:00:01,0	0,14
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:03:42,8	0:03:43,9	0		empshiwi	09.10.2020 15:15:26	empshiwi	09.10.2020 15:15:26	00:00:01,1	0,16
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\student	0:03:44,1	0:03:48,5	0		empshiwi	09.10.2020 15:15:41	empshiwi	09.10.2020 15:15:41	00:00:04,4	0,62
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:03:48,7	0:03:50,7	0		empshiwi	09.10.2020 15:16:02	empshiwi	09.10.2020 15:16:02	00:00:01,9	0,28
?			Aperol_pilot_02_04_novice_D_cam1	disturbance\chatting with neighbor	0:03:50,8	0:03:55,8	0		empshiwi	09.10.2020 15:16:21	empshiwi	09.10.2020 15:16:21	00:00:04,9	0,70
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\student	0:03:50,8	0:03:53,3	0		empshiwi	09.10.2020 15:16:42	empshiwi	09.10.2020 15:16:42	00:00:02,4	0,35
?			Aperol_pilot_02_04_novice_D_cam1	disturbance\head on table	0:03:34,9	0:04:32,5	0		empshiwi	14.10.2020 12:23:32	empshiwi	14.10.2020 12:23:32	00:00:57,6	8,13
?			Aperol_pilot_02_04_novice_D_cam1	disturbance\chatting with neighbor\reacted\verbal	0:03:53,3	0:03:55,7	0		empshiwi	14.10.2020 12:24:34	empshiwi	14.10.2020 12:24:34	00:00:02,3	0,33
?			Aperol_pilot_02_04_novice_D_cam1	speaking time\teachter	0:03:53,3	0:03:55,7	0		empshiwi	14.10.2020 12:24:36	empshiwi	14.10.2020 12:24:36	00:00:02,3	0,33
?			Aperol_pilot_02_04_novice_D_cam1	disturbance\chatting with neighbor\perceived	0:03:50,7	0:03:50,9	0		empshiwi	14.10.2020 12:27:09	empshiwi	14.10.2020 12:27:09	00:00:00,2	0,03
