Recording	Participant	Toi	Interval	Media	Duration of interval	Start of interval	Time_to_first_Event.Logged live Event	Time_to_first_Event.computer_END	Time_to_first_Event.computer_START	Time_to_first_Event.gregor_END	Time_to_first_Event.gregor_START	Time_to_first_Event.plant_END	Time_to_first_Event.plant_START	Time_to_first_Event.teddy_END	Time_to_first_Event.teddy_START	Number_of_Events.Logged live Event	Number_of_Events.computer_END	Number_of_Events.computer_START	Number_of_Events.gregor_END	Number_of_Events.gregor_START	Number_of_Events.plant_END	Number_of_Events.plant_START	Number_of_Events.teddy_END	Number_of_Events.teddy_START	Total_duration_of_fixations.computer	Total_duration_of_fixations.gregor	Total_duration_of_fixations.plant	Total_duration_of_fixations.teddy	Average_duration_of_fixations.computer	Average_duration_of_fixations.gregor	Average_duration_of_fixations.plant	Average_duration_of_fixations.teddy	Number_of_fixations.computer	Number_of_fixations.gregor	Number_of_fixations.plant	Number_of_fixations.teddy	Time_to_first_fixation.computer	Time_to_first_fixation.gregor	Time_to_first_fixation.plant	Time_to_first_fixation.teddy	Duration_of_first_fixation.computer	Duration_of_first_fixation.gregor	Duration_of_first_fixation.plant	Duration_of_first_fixation.teddy	Total_duration_of_whole_fixations.computer	Total_duration_of_whole_fixations.gregor	Total_duration_of_whole_fixations.plant	Total_duration_of_whole_fixations.teddy	Average_duration_of_whole_fixations.computer	Average_duration_of_whole_fixations.gregor	Average_duration_of_whole_fixations.plant	Average_duration_of_whole_fixations.teddy	Number_of_whole_fixations.computer	Number_of_whole_fixations.gregor	Number_of_whole_fixations.plant	Number_of_whole_fixations.teddy	Time_to_first_whole_fixation.computer	Time_to_first_whole_fixation.gregor	Time_to_first_whole_fixation.plant	Time_to_first_whole_fixation.teddy	Duration_of_first_whole_fixation.computer	Duration_of_first_whole_fixation.gregor	Duration_of_first_whole_fixation.plant	Duration_of_first_whole_fixation.teddy	Total_duration_of_Visit.computer	Total_duration_of_Visit.gregor	Total_duration_of_Visit.plant	Total_duration_of_Visit.teddy	Average_duration_of_Visit.computer	Average_duration_of_Visit.gregor	Average_duration_of_Visit.plant	Average_duration_of_Visit.teddy	Number_of_Visits.computer	Number_of_Visits.gregor	Number_of_Visits.plant	Number_of_Visits.teddy	Total_duration_of_Glances.computer	Total_duration_of_Glances.gregor	Total_duration_of_Glances.plant	Total_duration_of_Glances.teddy	Average_duration_of_Glances.computer	Average_duration_of_Glances.gregor	Average_duration_of_Glances.plant	Average_duration_of_Glances.teddy	Maximum_duration_of_Glances.computer	Maximum_duration_of_Glances.gregor	Maximum_duration_of_Glances.plant	Maximum_duration_of_Glances.teddy	Minimum_duration_of_Glances.computer	Minimum_duration_of_Glances.gregor	Minimum_duration_of_Glances.plant	Minimum_duration_of_Glances.teddy	Number_of_Glances.computer	Number_of_Glances.gregor	Number_of_Glances.plant	Number_of_Glances.teddy	Number of saccades	Average peak velocity of saccades	Minimum peak velocity of saccades	Maximum peak velocity of saccades	Standard deviation of peak velocity of saccades	Average amplitude of saccades	Minimum amplitude of saccades	Maximum amplitude of saccades	Total amplitude of saccades	Time to first saccade	Direction of first saccade	Peak velocity of first saccade	Average velocity of first saccade	Amplitude of first saccade	Number_of_saccades_in_AOI.computer	Number_of_saccades_in_AOI.gregor	Number_of_saccades_in_AOI.plant	Number_of_saccades_in_AOI.teddy	Time_to_entry_saccade.computer	Time_to_entry_saccade.gregor	Time_to_entry_saccade.plant	Time_to_entry_saccade.teddy	Time_to_exit_saccade.computer	Time_to_exit_saccade.gregor	Time_to_exit_saccade.plant	Time_to_exit_saccade.teddy	Peak_velocity_of_entry_saccade.computer	Peak_velocity_of_entry_saccade.gregor	Peak_velocity_of_entry_saccade.plant	Peak_velocity_of_entry_saccade.teddy	Peak_velocity_of_exit_saccade.computer	Peak_velocity_of_exit_saccade.gregor	Peak_velocity_of_exit_saccade.plant	Peak_velocity_of_exit_saccade.teddy
Recording031	Pilot002	snapshot_class	5	snapshot_class	39856	146124										0	0	0	0	0	0	0	0	0	740	7176	879	3398	370	652	879	680	2	11	1	5	220	0	23286	4417	400	100	879	1819	0	680	0	680	0	680	0	227	0	1	0	3		18189		12872		680		100	959	19249	879	9135	959	3850	879	3045	1	5	1	3	959	19428	879	9235	959	3886	879	3078	959	13272	879	8555	959	100	879	260	1	5	1	3	6	379,48	124,21	481,24	130,44	17,66	11,03	23,05	105,96	12972	138,81	394,84	295,59	23,05	0	1	0	0		12972		17709		17709		12972		394,84		455,32		455,32		394,84
Recording031	Pilot002	snapshot_class	6	snapshot_class	7216	192776										0	0	0	0	0	0	0	0	0	0	4717	0	0	0	943	0	0	0	5	0	0		0				3898			0	0	0	0	0	0	0	0	0	0	0	0									0	7216	0	0	0	7216	0	0	0	1	0	0	0	7216	0	0	0	7216	0	0		7216				7216			0	1	0	0	1	174,37	174,37	174,37		9,08	9,08	9,08	9,08	4337	265,14	174,37	174,37	9,08	0	1	0	0																
Recording031	Pilot002	snapshot_class	7	snapshot_class	7456	206428										0	0	0	0	0	0	0	0	0	0	5437	0	0	0	1087	0	0	0	5	0	0		0				979			0	4178	0	0	0	2089	0	0	0	2	0	0		2878				3178			0	7456	0	0	0	7456	0	0	0	1	0	0	0	7456	0	0	0	7456	0	0		7456				7456			0	1	0	0	1	229,3	229,3	229,3		7,58	7,58	7,58	7,58	7116	249,42	229,3	229,3	7,58	0	1	0	0																
Recording031	Pilot002	snapshot_class	8	snapshot_class	12513	220100										0	0	0	0	0	0	0	0	0	0	7855	0	0	0	982	0	0	0	8	0	0		0				240			0	0	0	0	0	0	0	0	0	0	0	0									0	12513	0	0	0	12513	0	0	0	1	0	0	0	12513	0	0	0	12513	0	0		12513				12513			0	1	0	0	0														0	0	0	0																
Recording031	Pilot002	snapshot_class	9	snapshot_class	2538	237869										0	0	0	0	0	0	0	0	0	0	1399	0	0	0	466	0	0	0	3	0	0		0				1139			0	0	0	0	0	0	0	0	0	0	0	0									0	2538	0	0	0	2538	0	0	0	1	0	0	0	2538	0	0	0	2538	0	0		2538				2538			0	1	0	0	0														0	0	0	0																
Recording031	Pilot002	snapshot_class	10	snapshot_class	13392	246084										0	0	0	0	0	0	0	0	0	859	5657	0	2179	859	1131	0	2179	1	5	0	1	859	0		11213	859	220		2179	859	1939	0	0	859	969	0	0	1	2	0	0	859	8875			859	380			859	5757	0	2179	859	2878	0	2179	1	2	0	1	899	5757	0	2179	899	2878	0	2179	899	5537		2179	899	220		2179	1	2	0	1	3	212,21	113,54	283,66	88,26	10,03	6,28	12,93	30,1	8835	256,16	283,66	194,1	10,89	0	3	0	0																
Recording031	Pilot002	snapshot_class	11	snapshot_class	33840	269650										0	0	0	0	0	0	0	0	0	1239	13672	0	180	248	855	0	180	5	16	0	1	31921	0		32201	240	480		180	480	1539	0	180	240	770	0	180	2	2	0	1	31921	3958		32201	240	700		180	1619	27484	0	180	810	27484	0	180	2	1	0	1	1699	27484	0	220	849	27484	0	220	1419	27484		220	280	27484		220	2	1	0	1	5	176,17	110,78	275,26	81	8,88	1,32	15,23	44,41	21087	167,97	110,78	110,78	10,38	2	1	0	0	32381			32161	32161			32381	252,73			275,26	275,26			252,73
Recording031	Pilot002	snapshot_class	12	snapshot_class	26764	314024										0	0	0	0	0	0	0	0	0	0	9095	3138	180	0	606	1046	180	0	15	3	1		40	13012	12752		500	180	180	0	959	0	180	0	480	0	180	0	2	0	1		40		12752		500		180	0	19069	4237	180	0	9534	4237	180	0	2	1	1	0	19109	4237	240	0	9554	4237	240		9634	4237	240		9474	4237	240	0	2	1	1	3	248,93	211,97	290,5	39,47	9	6,91	10,79	27,01	540	268,78	244,32	176,13	9,31	0	3	0	0																
Recording031	Pilot002	snapshot_class	13	snapshot_class	2319	349083										0	0	0	0	0	0	0	0	0	0	1859	0	0	0	310	0	0	0	6	0	0		0				740			0	0	0	0	0	0	0	0	0	0	0	0									0	2319	0	0	0	2319	0	0	0	1	0	0	0	2319	0	0	0	2319	0	0		2319				2319			0	1	0	0	0														0	0	0	0																
Recording031	Pilot002	snapshot_class	14	snapshot_class	11973	357538										0	0	0	0	0	0	0	0	0	0	4277	0	0	0	611	0	0	0	7	0	0		140				999			0	1479	0	0	0	740	0	0	0	2	0	0		140				999			0	11973	0	0	0	11973	0	0	0	1	0	0	0	11973	0	0	0	11973	0	0		11973				11973			0	1	0	0	0														0	0	0	0																
Recording031	Pilot002	snapshot_class	15	snapshot_class	40716	375627										0	0	0	0	0	0	0	0	0	0	20188	300	240	0	577	300	240	0	35	1	1		0	37877	40436		1259	300	240	0	5117	300	0	0	640	300	0	0	8	1	0		4437	37877			180	300		0	33700	300	240	0	5617	300	240	0	6	1	1	0	33780	340	240	0	5630	340	240		14971	340	240		180	340	240	0	6	1	1	8	229,1	102,43	408,56	109,94	7,34	3,49	13,32	58,75	4617	222,16	102,43	102,43	3,49	0	3	0	0		38177	37837			12133	38177			246,27	408,56			302,1	246,27	
Recording031	Pilot002	snapshot_class	16	snapshot_class	1819	433273										0	0	0	0	0	0	0	0	0	0	1359	400	0	0	1359	400	0	0	1	1	0		0	1419			1359	400		0	0	0	0	0	0	0	0	0	0	0	0									0	1359	400	0	0	1359	400	0	0	1	1	0	0	1359	400	0	0	1359	400	0		1359	400			1359	400		0	1	1	0	0														0	0	0	0																
Recording031	Pilot002	Entire Recording	1	fullstream	443833	0										0	0	0	0	0	0	0	0	0	4457	119969	8115	9834	343	689	451	410	13	174	18	24	33210	2768	4367	32891	340	1559	280	160	1959	25905	2019	2618	392	740	288	238	5	35	7	11	33210	32111	4367	42365	340	640	280	460	5057	130283	9334	10934	562	1551	778	547	9	84	12	20	5397	133701	9954	11853	600	1592	830	593	1419	10933	4237	3778	180	80	220	120	9	84	12	20	218	197,94	100,04	641,12	108,39	9,47	0,56	54,74	2065,39	909	56,1	106,01	106,01	5,19	2	47	5	3	42825	30872	4327	33550	33550	4327	4647	42825	393,55	406,89	354,9	356,35	356,35	354,9	241,88	393,55
