Farbe	Kommentar	Dokumentgruppe	Dokumentname	Code	Anfang	Ende	Gewicht	Segment	Bearbeitet von	Bearbeitet am	Erstellt von	Erstellt am	Fläche	Abdeckungsgrad %
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:01:52,2	0:01:52,6	0		empschulml	20.10.2020 15:15:19	empschulml	20.10.2020 15:15:19	00:00:00,3	0,06
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:01:52,6	0:02:22,7	0		empschulml	20.10.2020 15:17:08	empschulml	20.10.2020 15:17:08	00:00:30,1	4,44
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:02:23,6	0:02:44,7	0		empschulml	20.10.2020 15:38:52	empschulml	20.10.2020 15:38:52	00:00:21,1	3,11
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	disturbance\clicking pen	0:02:31,3	0:02:53,2	0		empschulml	20.10.2020 15:40:29	empschulml	20.10.2020 15:40:29	00:00:21,9	3,22
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	disturbance\clicking pen\perceived	0:02:46,2	0:02:46,8	0		empschulml	20.10.2020 15:39:35	empschulml	20.10.2020 15:39:35	00:00:00,5	0,08
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	disturbance\clicking pen\reacted	0:02:46,7	0:02:50,8	0		empschulml	20.10.2020 15:41:02	empschulml	20.10.2020 15:41:02	00:00:04,1	0,60
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	disturbance\clicking pen\reacted\nonverbal	0:02:46,7	0:02:50,8	0		empschulml	20.10.2020 15:41:04	empschulml	20.10.2020 15:41:04	00:00:04,1	0,60
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	disturbance\clicking pen\reacted\verbal	0:02:48,1	0:02:50,8	0		empschulml	20.10.2020 15:41:33	empschulml	20.10.2020 15:41:33	00:00:02,7	0,40
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:02:48,1	0:02:50,8	0		empschulml	20.10.2020 15:41:25	empschulml	20.10.2020 15:41:25	00:00:02,7	0,40
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:02:57,0	0:02:59,1	0		empschulml	20.10.2020 15:42:11	empschulml	20.10.2020 15:42:11	00:00:02,1	0,31
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:02:59,0	0:03:02,9	0		empschulml	20.10.2020 15:45:46	empschulml	20.10.2020 15:45:46	00:00:03,9	0,58
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:03:02,8	0:03:04,0	0		empschulml	20.10.2020 15:51:11	empschulml	20.10.2020 15:51:11	00:00:01,1	0,17
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:03:04,1	0:03:06,8	0		empschulml	20.10.2020 15:51:26	empschulml	20.10.2020 15:51:26	00:00:02,6	0,39
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:03:07,5	0:03:10,6	0		empschulml	20.10.2020 15:52:13	empschulml	20.10.2020 15:52:13	00:00:03,0	0,45
?		02_03_kodiert von Mandy	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:03:11,6	0:03:26,5	0		empschulml	20.10.2020 15:53:15	empschulml	20.10.2020 15:53:15	00:00:14,9	2,19
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:00:15,0	0:00:28,6	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:33:32	00:00:13,5	1,99
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:00:28,6	0:00:29,3	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:33:41	00:00:00,6	0,10
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:00:29,3	0:01:10,7	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:35:16	00:00:41,4	6,09
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	Phase\organisation/transition points	0:00:15,1	0:00:57,4	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 13:02:44	00:00:42,3	6,23
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	Phase\lesson begin	0:00:15,0	0:00:15,3	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:34:40	00:00:00,2	0,03
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:01:14,3	0:01:15,1	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:35:39	00:00:00,8	0,12
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:01:15,1	0:01:25,6	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:36:19	00:00:10,4	1,54
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:01:26,5	0:01:32,2	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:37:44	00:00:05,7	0,84
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:01:32,1	0:01:33,6	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:37:16	00:00:01,4	0,21
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:01:33,6	0:01:34,6	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:37:22	00:00:00,9	0,14
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:01:30,8	0:01:31,1	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:37:53	00:00:00,2	0,04
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	disturbance\yelling	0:01:34,6	0:01:36,3	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:38:13	00:00:01,7	0,25
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\student	0:01:34,6	0:01:36,3	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:38:16	00:00:01,7	0,25
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	disturbance\yelling\perceived	0:01:34,8	0:01:35,0	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:38:41	00:00:00,2	0,03
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	disturbance\yelling\reacted	0:01:36,4	0:01:39,3	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:38:54	00:00:02,8	0,41
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	disturbance\yelling\reacted\verbal	0:01:36,4	0:01:39,3	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:38:56	00:00:02,8	0,41
?		02_03_kodiert von Anna	Aperol_pilot_02_03_novice_C_cam1	speaking time\teachter	0:01:36,4	0:01:39,3	0		empschulml	20.10.2020 15:54:27	empshiwi	09.10.2020 12:38:58	00:00:02,8	0,41
