Farbe	Kommentar	Dokumentgruppe	Dokumentname	Code	Anfang	Ende	Gewicht	Segment	Bearbeitet von	Bearbeitet am	Erstellt von	Erstellt am	Fläche	Abdeckungsgrad %
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\student	0:05:00,9	0:05:03,2	0		empshiwi	15.10.2020 10:51:25	empshiwi	15.10.2020 10:51:25	00:00:02,3	0,33
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:05:03,7	0:05:17,3	0		empshiwi	15.10.2020 10:51:46	empshiwi	15.10.2020 10:51:46	00:00:13,5	1,92
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\student	0:05:16,1	0:05:20,3	0		empshiwi	15.10.2020 10:52:29	empshiwi	15.10.2020 10:52:29	00:00:04,1	0,58
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\chatting with neighbor	0:05:16,1	0:05:20,3	0		empshiwi	15.10.2020 10:52:31	empshiwi	15.10.2020 10:52:31	00:00:04,1	0,58
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\chatting with neighbor\perceived	0:05:17,6	0:05:17,8	0		empshiwi	15.10.2020 10:53:20	empshiwi	15.10.2020 10:53:20	00:00:00,2	0,03
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\student	0:05:20,3	0:05:21,2	0		empshiwi	15.10.2020 10:53:30	empshiwi	15.10.2020 10:53:30	00:00:00,9	0,13
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:05:21,1	0:05:22,7	0		empshiwi	15.10.2020 10:53:41	empshiwi	15.10.2020 10:53:41	00:00:01,5	0,22
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\chatting with neighbor\reacted	0:05:21,1	0:05:22,7	0		empshiwi	15.10.2020 10:53:43	empshiwi	15.10.2020 10:53:43	00:00:01,5	0,22
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\chatting with neighbor\reacted\verbal	0:05:21,1	0:05:22,7	0		empshiwi	15.10.2020 10:53:45	empshiwi	15.10.2020 10:53:45	00:00:01,5	0,22
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\student	0:05:22,4	0:05:22,8	0		empshiwi	15.10.2020 10:53:50	empshiwi	15.10.2020 10:53:50	00:00:00,3	0,05
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:05:23,0	0:05:53,8	0		empshiwi	15.10.2020 10:55:25	empshiwi	15.10.2020 10:55:25	00:00:30,7	4,36
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:05:54,6	0:06:10,1	0		empshiwi	15.10.2020 10:56:21	empshiwi	15.10.2020 10:56:21	00:00:15,5	2,20
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\drumming hands	0:05:47,9	0:06:02,1	0		empshiwi	15.10.2020 10:57:23	empshiwi	15.10.2020 10:57:23	00:00:14,1	2,01
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\drumming hands\perceived 	0:05:56,9	0:05:57,0	0		empshiwi	15.10.2020 10:57:39	empshiwi	15.10.2020 10:57:39	00:00:00,1	0,02
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\drumming hands\not reacted	0:05:47,9	0:06:02,1	0		empshiwi	15.10.2020 10:58:07	empshiwi	15.10.2020 10:58:07	00:00:14,1	2,01
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:06:11,4	0:06:47,8	0		empshiwi	15.10.2020 10:59:02	empshiwi	15.10.2020 10:59:02	00:00:36,4	5,16
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\chatting with neighbor	0:06:32,6	0:06:36,1	0		empshiwi	15.10.2020 10:59:45	empshiwi	15.10.2020 10:59:45	00:00:03,5	0,50
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\student	0:06:32,6	0:06:36,1	0		empshiwi	15.10.2020 10:59:47	empshiwi	15.10.2020 10:59:47	00:00:03,5	0,50
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\chatting with neighbor\not perceived	0:06:32,6	0:06:36,1	0		empshiwi	15.10.2020 10:59:53	empshiwi	15.10.2020 10:59:53	00:00:03,5	0,50
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\chatting with neighbor\not reacted	0:06:32,6	0:06:36,1	0		empshiwi	15.10.2020 10:59:55	empshiwi	15.10.2020 10:59:55	00:00:03,5	0,50
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	disturbance\looking at phone	0:06:37,0	0:07:25,0	0		empshiwi	15.10.2020 11:00:51	empshiwi	15.10.2020 11:00:51	00:00:48,0	6,80
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:06:49,8	0:06:50,5	0		empshiwi	15.10.2020 11:01:09	empshiwi	15.10.2020 11:01:09	00:00:00,6	0,09
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:06:51,5	0:06:55,3	0		empshiwi	15.10.2020 11:01:21	empshiwi	15.10.2020 11:01:21	00:00:03,7	0,53
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:06:57,5	0:07:00,0	0		empshiwi	15.10.2020 11:01:34	empshiwi	15.10.2020 11:01:34	00:00:02,4	0,34
?		kodiert von Anna	Aperol_pilot_01_03_novice_B_cam1	speaking time\teachter	0:07:01,4	0:07:06,2	0		empshiwi	15.10.2020 11:01:52	empshiwi	15.10.2020 11:01:52	00:00:04,8	0,68
