Recording	Participant	Group	TOI	Interval	Media	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_size
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	614	494404	495324	919	StudentB	1	0,46514	0,15593	2,80168
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	615	495344	495444	100	StudentB	1	0,31774	0,01602	2,78993
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	616	496063	496923	859	StudentB	1	0,43713	0,04149	2,88062
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	617	497942	498242	300	StudentC	1	0,69829	0,32364	2,89461
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	618	498262	498522	260	StudentC	1	0,69675	0,269	2,92955
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	619	498722	498902	180	Classroom_others	0,88883	0,32074	0,42384	2,81967
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	620	499102	499222	120	Classroom_others	0,83328	0,22796	0,33331	2,95011
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	621	499301	499401	100	Classroom_others	1	0,55031	0,15962	2,90951
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	622	499441	499821	380	StudentB	1	0,54523	0,09739	2,89839
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	623	500161	501080	919	StudentC	1	0,58072	0,29834	2,88611
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	624	501340	501640	300	StudentA	1	0,41807	0,156	2,857
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	625	501680	501940	260	StudentA	1	0,51409	0,27522	2,8735
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	626	502000	502480	480	StudentA	1	0,36091	0,17068	2,86553
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	627	502620	502720	100	StudentC	1	0,66996	0,31836	2,89563
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	628	502739	504459	1719	StudentC	1	0,57903	0,15059	2,91434
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	629	505118	505198	80	Board	1	0,22448	0,40605	3,0863
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	630	505238	505378	140	Board	1	0,29452	0,65809	2,88436
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	631	505878	506717	840	StudentA	1	0,58105	0,15653	2,91911
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	632	506997	507157	160	StudentC	1	0,88675	0,09613	2,8974
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	633	507417	508536	1119	StudentA	1	0,43397	0,1446	2,9457
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	634	508856	509096	240	StudentC	1	0,60482	0,12454	2,89881
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	635	509116	509855	740	StudentC	1	0,58659	0,13105	2,93039
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	636	509955	510655	700	StudentC	1	0,60545	0,04306	2,91079
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Partial	637	510835	511155	320	StudentC	1	0,68901	0,03962	2,92594
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	638	511874	512434	560	Board	1	0,46205	0,73357	2,82251
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	639	516092	516272	180	Board	1	0,46389	0,86453	2,65206
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	640	517011	517111	100		0	0,78931	0,2249	2,83785
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	641	517131	517351	220	Classroom_others	1	0,63797	0,16659	2,87322
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Fixation	Whole	642	518750	519370	620	Material	1	0,59541	0,3848	2,86779
