Recording	Participant	Group	TOI	Interval	Media	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Board	60065	567	80	6276	106	325942	120	0				0			68460	4564	80	11253	15	325942	8155	69120	4608	100	11373	15	325922	8175	74	588649	632624	216,64	121,06
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Classroom_others	16910	229	80	1919	74	65572	200	0				0			24706	603	80	7096	41	65572	200	26545	647	100	7136	41	65512	260	16	65512	79145	401,8	296,07
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	Material	28783	316	80	4297	91	65153	360	0				0			42455	1516	80	6716	28	65153	360	43515	1554	140	6736	28	65113	400	20	147685	65512	375,1	401,8
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	StudentA	97604	508	80	7176	192	62574	400	0				0			108717	921	80	10854	118	62574	400	113854	965	80	10974	118	62554	420	47	62554	62974	334,94	308,5
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	StudentB	71958	510	80	4557	141	62094	460	0				0			79094	791	80	9974	100	62094	460	84171	842	100	9994	100	62074	480	24	72868	62554	397,03	334,94
Recording033	PilotA_PersonC_290720	Novice	Entire Recording	1	fullstream	StudentC	140419	688	80	4857	204	63014	380	0				0			164585	1306	80	12113	126	63014	380	169542	1346	140	12213	126	62974	420	43	62974	86840	308,5	213,04
