Recording	Participant	Gender	Group	TOI	Interval	Media	AOI	Number_of_Events.Logged_live_Event	Number_of_Events.Calibration_fix_offset	Number_of_Events.Calibration_offset	Number_of_Events.Calibration_onset	Number_of_Events.Chatting_fix_offset	Number_of_Events.Chatting_offset	Number_of_Events.Chatting_onset	Number_of_Events.Clicking_fix_offset	Number_of_Events.Clicking_offset	Number_of_Events.Clicking_onset	Number_of_Events.Drawing_fix_offset	Number_of_Events.Drawing_offset	Number_of_Events.Drawing_onset	Number_of_Events.Drumming_fix_offset	Number_of_Events.Drumming_offset	Number_of_Events.Drumming_onset	Number_of_Events.Head_fix_offset	Number_of_Events.Head_offset	Number_of_Events.Head_onset	Number_of_Events.Heckling_fix_offset	Number_of_Events.Heckling_offset	Number_of_Events.Heckling_onset	Number_of_Events.Lesson_end	Number_of_Events.Lesson_start	Number_of_Events.Phone_fix_offset	Number_of_Events.Phone_offset	Number_of_Events.Phone_onset	Number_of_Events.Reaction_chatting	Number_of_Events.Reaction_clicking	Number_of_Events.Reaction_drawing	Number_of_Events.Reaction_drumming	Number_of_Events.Reaction_head	Number_of_Events.Reaction_heckling	Number_of_Events.Reaction_phone	Number_of_Events.Reaction_snipping	Number_of_Events.Reaction_whispering	Number_of_Events.Snipping_fix_offset	Number_of_Events.Snipping_offset	Number_of_Events.Snipping_onset	Number_of_Events.Whispering_fix_offset	Number_of_Events.Whispering_offset	Number_of_Events.Whispering_onset	Time_to_first_Event.Logged_live_Event	Time_to_first_Event.Calibration_fix_offset	Time_to_first_Event.Calibration_offset	Time_to_first_Event.Calibration_onset	Time_to_first_Event.Chatting_fix_offset	Time_to_first_Event.Chatting_offset	Time_to_first_Event.Chatting_onset	Time_to_first_Event.Clicking_fix_offset	Time_to_first_Event.Clicking_offset	Time_to_first_Event.Clicking_onset	Time_to_first_Event.Drawing_fix_offset	Time_to_first_Event.Drawing_offset	Time_to_first_Event.Drawing_onset	Time_to_first_Event.Drumming_fix_offset	Time_to_first_Event.Drumming_offset	Time_to_first_Event.Drumming_onset	Time_to_first_Event.Head_fix_offset	Time_to_first_Event.Head_offset	Time_to_first_Event.Head_onset	Time_to_first_Event.Heckling_fix_offset	Time_to_first_Event.Heckling_offset	Time_to_first_Event.Heckling_onset	Time_to_first_Event.Lesson_end	Time_to_first_Event.Lesson_start	Time_to_first_Event.Phone_fix_offset	Time_to_first_Event.Phone_offset	Time_to_first_Event.Phone_onset	Time_to_first_Event.Reaction_chatting	Time_to_first_Event.Reaction_clicking	Time_to_first_Event.Reaction_drawing	Time_to_first_Event.Reaction_drumming	Time_to_first_Event.Reaction_head	Time_to_first_Event.Reaction_heckling	Time_to_first_Event.Reaction_phone	Time_to_first_Event.Reaction_snipping	Time_to_first_Event.Reaction_whispering	Time_to_first_Event.Snipping_fix_offset	Time_to_first_Event.Snipping_offset	Time_to_first_Event.Snipping_onset	Time_to_first_Event.Whispering_fix_offset	Time_to_first_Event.Whispering_offset	Time_to_first_Event.Whispering_onset	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Clicking_pen_fix	1	fullstream	Bianca	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									22207	0																																	3538	708	260	1639	5	10714	620	Anna		0				0			3618	1206	260	1719	3	10714	1719	3698	1233	280	1739	3	10694	1739	0	12453		146,19	
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Clicking_pen_fix	1	fullstream	Carl(a)	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									22207	0																																	0				0			Anna		0				0			0				0			0				0			0				
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Clicking_pen_fix	1	fullstream	Disruptive_Person	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									22207	0																																	4018	574	120	1639	7	1459	360	Anna		0				0			4138	1034	260	1799	4	1459	360	4238	1059	280	1799	4	1399	420	1	12453		146,19	
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Drumming_with_hands	1	fullstream	Anna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0																											2578	430	80	680	6	230	360	Disruptive_Person		0				0			2778	695	400	1239	4	230	460	2998	750	460	1259	4	130	560	1	130	690	357,48	314,65
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Drumming_with_hands	1	fullstream	Bianca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0																											130	130	130	130	1	0	130	Disruptive_Person		0				0			130	130	130	130	1	0	130	130	130	130	130	1	0	130	0		130		357,48
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Drumming_with_hands	1	fullstream	Carl(a)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0																											0				0			Disruptive_Person		0				0			0				0			0				0			0				
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Drumming_with_hands	1	fullstream	Disruptive_Person	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																0																											2838	405	80	680	7	230	360	Disruptive_Person		0				0			3038	608	260	1239	5	230	460	3258	652	260	1259	5	130	560	1	130	690	357,48	314,65
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Drumming_with_hands_fix	1	fullstream	Anna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															9075	0																											5237	403	80	919	13	230	360	Classroom_Others	Classroom_Others	0				0			5497	611	80	1239	9	230	460	5917	657	100	1259	9	130	560	2	130	690	357,48	314,65
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Drumming_with_hands_fix	1	fullstream	Bianca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															9075	0																											1849	370	130	700	5	0	130	Classroom_Others	Classroom_Others	0				0			1989	663	130	1199	3	0	130	2109	703	130	1279	3	0	130	2	21437	130	180,33	357,48
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Drumming_with_hands_fix	1	fullstream	Carl(a)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															9075	0																											3778	315	140	760	12	17280	300	Classroom_Others	Classroom_Others	0				0			4597	919	340	1599	5	17280	680	4737	947	360	1619	5	17260	700	4	19698	17959	203,79	380,14
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Drumming_with_hands_fix	1	fullstream	Classroom_Others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															9075	0																											1607	179	88	500	9	20798	120	Classroom_Others	Classroom_Others	0				0			1867	467	160	800	4	20798	640	2067	517	200	839	4	20758	680	4	20758	21437	125,3	180,33
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Drumming_with_hands_fix	1	fullstream	Disruptive_Person	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															9075	0																											4497	450	80	919	10	230	360	Classroom_Others	Classroom_Others	0				0			4717	674	260	1239	7	230	460	4997	714	260	1259	7	130	560	2	130	690	357,48	314,65
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Drumming_with_hands_fix	1	fullstream	Material	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															9075	0																											420	210	200	220	2	18039	220	Classroom_Others	Classroom_Others	0				0			420	210	200	220	2	18039	220	580	290	280	300	2	17959	300	0	17959	25075	380,14	326,78
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Drumming_with_hands_fix	1	fullstream	Nametag_Anna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0															9075	0																											260	260	260	260	1	24476	260	Classroom_Others	Classroom_Others	0				0			260	260	260	260	1	24476	260	300	300	300	300	1	24436	300	0				
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Head_on_table	1	fullstream	Anna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	30000		0																								5277	440	80	1559	12	15103	80	Bianca,Material		0				0			5677	1419	160	3518	4	15103	1759	5797	1449	180	3578	4	15083	1779	3	17801		326,15	
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Head_on_table	1	fullstream	Bianca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	30000		0																								2270	324	80	660	7	0	291	Bianca,Material		0				0			2390	797	160	1939	3	0	291	2490	830	220	1979	3	0	291	3	22598		287,91	
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Head_on_table	1	fullstream	Carl(a)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	30000		0																								0				0			Bianca,Material		0				0			0				0			0				0			0				
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Head_on_table	1	fullstream	Classroom_Others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	30000		0																								300	150	100	200	2	17601	200	Bianca,Material		0				0			300	150	100	200	2	17601	200	320	160	100	220	2	17581	220	0	17581	17801	112,59	326,15
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Head_on_table	1	fullstream	Disruptive_Person	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	30000		0																								2270	324	80	660	7	0	291	Bianca,Material		0				0			2390	797	160	1939	3	0	291	2490	830	220	1979	3	0	291	3	22598		287,91	
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Head_on_table	1	fullstream	Material	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	30000		0																								80	80	80	80	1	24697	80	Bianca,Material		0				0			80	80	80	80	1	24697	80	80	80	80	80	1	24697	80	0				
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Head_on_table	1	fullstream	Nametag_Anna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	30000		0																								200	200	200	200	1	17381	200	Bianca,Material		0				0			200	200	200	200	1	17381	200	240	240	240	240	1	17341	240	0	17341	17581	251,13	112,59
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Head_on_table_fix	1	fullstream	Anna	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																			0																								5277	440	80	1559	12	15103	80	Bianca,Material		0				0			5677	1419	160	3518	4	15103	1759	5797	1449	180	3578	4	15083	1779	3	17801		326,15	
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Head_on_table_fix	1	fullstream	Bianca	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																			0																								2270	324	80	660	7	0	291	Bianca,Material		0				0			2390	797	160	1939	3	0	291	2490	830	220	1979	3	0	291	3	22598		287,91	
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Head_on_table_fix	1	fullstream	Carl(a)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																			0																								0				0			Bianca,Material		0				0			0				0			0				0			0				
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Head_on_table_fix	1	fullstream	Classroom_Others	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																			0																								300	150	100	200	2	17601	200	Bianca,Material		0				0			300	150	100	200	2	17601	200	320	160	100	220	2	17581	220	0	17581	17801	112,59	326,15
Recording048	ProVisioNET_pilot_03_03	Female	Novice	Head_on_table_fix	1	fullstream	Disruptive_Person	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																			0																								2270	324	80	660	7	0	291	Bianca,Material		0				0			2390	797	160	1939	3	0	291	2490	830	220	1979	3	0	291	3	22598		287,91	
